productName,quantity,productDescription,materialType,weight,price
Screw M,113,A high-quality screw designed for durability and efficiency.,Composite,70.49,310.83
Bolt N,189,A high-quality bolt designed for durability and efficiency.,Fabric,47.95,285.17
Nail O,67,A high-quality nail designed for durability and efficiency.,Fabric,15.93,40.58
Hammer P,286,A high-quality hammer designed for durability and efficiency.,Ceramic,33.19,10.17
Wrench Q,319,A high-quality wrench designed for durability and efficiency.,Composite,67.32,248.74
Drill R,265,A high-quality drill designed for durability and efficiency.,Wood,42.72,195.22
Saw S,215,A high-quality saw designed for durability and efficiency.,Glass,7.85,5.27
Pliers T,49,A high-quality pliers designed for durability and efficiency.,Plastic,82.28,249.4
Tape Measure U,453,A high-quality tape designed for durability and efficiency.,Metal,37.43,322.27
Screwdriver V,291,A high-quality screwdriver designed for durability and efficiency.,Fabric,30.03,199.66
Nut W,403,A high-quality nut designed for durability and efficiency.,Glass,53.19,453.39
Washer X,108,A high-quality washer designed for durability and efficiency.,Ceramic,14.05,249.03
Chisel Y,103,A high-quality chisel designed for durability and efficiency.,Wood,44.84,340.56
Clamp Z,62,A high-quality clamp designed for durability and efficiency.,Fabric,96.62,65.69
Level A,269,A high-quality level designed for durability and efficiency.,Composite,6.88,48.98
Sandpaper B,21,A high-quality sandpaper designed for durability and efficiency.,Ceramic,23.93,40.48
Wire Cutter C,144,A high-quality wire designed for durability and efficiency.,Metal,33.21,375.27
Socket D,329,A high-quality socket designed for durability and efficiency.,Metal,48.31,437.44
Drill Bit E,453,A high-quality drill designed for durability and efficiency.,Ceramic,87.3,107.43
Grinder F,229,A high-quality grinder designed for durability and efficiency.,Ceramic,18.56,266.62
Screw G,475,A high-quality screw designed for durability and efficiency.,Ceramic,94.6,61.12
Bolt H,80,A high-quality bolt designed for durability and efficiency.,Fabric,95.9,461.28
Nail I,221,A high-quality nail designed for durability and efficiency.,Metal,61.97,218.13
Hammer J,258,A high-quality hammer designed for durability and efficiency.,Composite,36.91,352.19
Wrench K,456,A high-quality wrench designed for durability and efficiency.,Composite,64.72,248.47
Drill L,269,A high-quality drill designed for durability and efficiency.,Wood,1.93,84.82
Saw M,416,A high-quality saw designed for durability and efficiency.,Fabric,38.89,181.23
Pliers N,366,A high-quality pliers designed for durability and efficiency.,Metal,54.59,97.73
Tape Measure O,383,A high-quality tape designed for durability and efficiency.,Ceramic,55.86,412.05
Screwdriver P,288,A high-quality screwdriver designed for durability and efficiency.,Metal,60.98,317.84
Nut Q,4,A high-quality nut designed for durability and efficiency.,Wood,66.31,242.36
Washer R,244,A high-quality washer designed for durability and efficiency.,Ceramic,0.6,266.73
Chisel S,15,A high-quality chisel designed for durability and efficiency.,Glass,31.16,32.19
Clamp T,166,A high-quality clamp designed for durability and efficiency.,Ceramic,79.68,210.36
Level U,121,A high-quality level designed for durability and efficiency.,Metal,15.96,433.45
Sandpaper V,17,A high-quality sandpaper designed for durability and efficiency.,Composite,15.91,362.01
Wire Cutter W,220,A high-quality wire designed for durability and efficiency.,Wood,58.3,42.86
Socket X,395,A high-quality socket designed for durability and efficiency.,Composite,45.44,129.05
Drill Bit Y,7,A high-quality drill designed for durability and efficiency.,Glass,50.92,284.71
Grinder Z,470,A high-quality grinder designed for durability and efficiency.,Glass,35.23,155.64
Screw A,486,A high-quality screw designed for durability and efficiency.,Glass,43.33,278.97
Bolt B,62,A high-quality bolt designed for durability and efficiency.,Composite,92.16,281.02
Nail C,217,A high-quality nail designed for durability and efficiency.,Wood,3.87,426.61
Hammer D,479,A high-quality hammer designed for durability and efficiency.,Ceramic,92.27,191.24
Wrench E,197,A high-quality wrench designed for durability and efficiency.,Fabric,87.46,462.66
Drill F,242,A high-quality drill designed for durability and efficiency.,Metal,75.71,82.37
Saw G,385,A high-quality saw designed for durability and efficiency.,Fabric,12.04,142.43
Pliers H,403,A high-quality pliers designed for durability and efficiency.,Wood,94.81,472.22
Tape Measure I,92,A high-quality tape designed for durability and efficiency.,Metal,12.17,373.57
Screwdriver J,188,A high-quality screwdriver designed for durability and efficiency.,Ceramic,50.29,180.42
Nut K,339,A high-quality nut designed for durability and efficiency.,Fabric,56.27,423.66
Washer L,453,A high-quality washer designed for durability and efficiency.,Glass,81.68,27.87
Chisel M,79,A high-quality chisel designed for durability and efficiency.,Glass,67.44,129.4
Clamp N,84,A high-quality clamp designed for durability and efficiency.,Plastic,86.32,298.06
Level O,494,A high-quality level designed for durability and efficiency.,Glass,18.11,136.0
Sandpaper P,406,A high-quality sandpaper designed for durability and efficiency.,Plastic,81.1,40.01
Wire Cutter Q,455,A high-quality wire designed for durability and efficiency.,Wood,66.29,462.92
Socket R,452,A high-quality socket designed for durability and efficiency.,Composite,85.29,111.02
Drill Bit S,319,A high-quality drill designed for durability and efficiency.,Wood,30.73,246.41
Grinder T,11,A high-quality grinder designed for durability and efficiency.,Ceramic,34.94,34.12
Screw U,439,A high-quality screw designed for durability and efficiency.,Glass,63.32,453.35
Bolt V,207,A high-quality bolt designed for durability and efficiency.,Plastic,26.88,460.99
Nail W,280,A high-quality nail designed for durability and efficiency.,Composite,90.75,379.52
Hammer X,142,A high-quality hammer designed for durability and efficiency.,Metal,75.16,359.08
Wrench Y,273,A high-quality wrench designed for durability and efficiency.,Wood,43.61,139.74
Drill Z,221,A high-quality drill designed for durability and efficiency.,Metal,90.87,137.83
Saw A,24,A high-quality saw designed for durability and efficiency.,Glass,96.76,442.65
Pliers B,160,A high-quality pliers designed for durability and efficiency.,Wood,6.08,235.96
Tape Measure C,389,A high-quality tape designed for durability and efficiency.,Ceramic,73.13,260.34
Screwdriver D,484,A high-quality screwdriver designed for durability and efficiency.,Ceramic,97.33,420.85
Nut E,246,A high-quality nut designed for durability and efficiency.,Composite,21.93,359.03
Washer F,311,A high-quality washer designed for durability and efficiency.,Ceramic,20.4,460.0
Chisel G,290,A high-quality chisel designed for durability and efficiency.,Fabric,27.54,330.3
Clamp H,36,A high-quality clamp designed for durability and efficiency.,Fabric,27.25,323.66
Level I,239,A high-quality level designed for durability and efficiency.,Wood,3.01,75.44
Sandpaper J,477,A high-quality sandpaper designed for durability and efficiency.,Glass,10.15,298.48
Wire Cutter K,264,A high-quality wire designed for durability and efficiency.,Plastic,36.29,296.19
Socket L,306,A high-quality socket designed for durability and efficiency.,Plastic,27.22,295.21
Drill Bit M,498,A high-quality drill designed for durability and efficiency.,Glass,34.24,242.65
Grinder N,108,A high-quality grinder designed for durability and efficiency.,Plastic,32.12,87.18
Screw O,151,A high-quality screw designed for durability and efficiency.,Glass,78.65,149.46
Bolt P,297,A high-quality bolt designed for durability and efficiency.,Wood,63.87,354.05
Nail Q,354,A high-quality nail designed for durability and efficiency.,Metal,18.12,313.28
Hammer R,30,A high-quality hammer designed for durability and efficiency.,Plastic,42.73,444.24
Wrench S,160,A high-quality wrench designed for durability and efficiency.,Ceramic,16.05,221.15
Drill T,241,A high-quality drill designed for durability and efficiency.,Ceramic,63.42,90.42
Saw U,162,A high-quality saw designed for durability and efficiency.,Ceramic,78.22,19.21
Pliers V,92,A high-quality pliers designed for durability and efficiency.,Ceramic,94.92,435.2
Tape Measure W,83,A high-quality tape designed for durability and efficiency.,Glass,32.47,38.21
Screwdriver X,422,A high-quality screwdriver designed for durability and efficiency.,Glass,36.2,4.23
Nut Y,453,A high-quality nut designed for durability and efficiency.,Wood,29.35,251.92
Washer Z,434,A high-quality washer designed for durability and efficiency.,Glass,53.5,467.18
Chisel A,147,A high-quality chisel designed for durability and efficiency.,Ceramic,52.48,383.85
Clamp B,77,A high-quality clamp designed for durability and efficiency.,Wood,77.96,423.93
Level C,382,A high-quality level designed for durability and efficiency.,Metal,30.29,86.66
Sandpaper D,294,A high-quality sandpaper designed for durability and efficiency.,Wood,57.87,314.03
Wire Cutter E,381,A high-quality wire designed for durability and efficiency.,Plastic,58.13,294.96
Socket F,48,A high-quality socket designed for durability and efficiency.,Ceramic,12.55,243.99
Drill Bit G,308,A high-quality drill designed for durability and efficiency.,Glass,29.92,437.24
Grinder H,177,A high-quality grinder designed for durability and efficiency.,Glass,9.82,191.75
Screw I,153,A high-quality screw designed for durability and efficiency.,Composite,46.37,208.86
Bolt J,452,A high-quality bolt designed for durability and efficiency.,Metal,61.9,99.18
Nail K,309,A high-quality nail designed for durability and efficiency.,Fabric,22.01,403.72
Hammer L,208,A high-quality hammer designed for durability and efficiency.,Composite,64.06,421.76
Wrench M,408,A high-quality wrench designed for durability and efficiency.,Glass,54.83,237.76
Drill N,308,A high-quality drill designed for durability and efficiency.,Plastic,29.42,352.47
Saw O,265,A high-quality saw designed for durability and efficiency.,Plastic,7.6,434.36
Pliers P,349,A high-quality pliers designed for durability and efficiency.,Wood,44.57,452.69
Tape Measure Q,167,A high-quality tape designed for durability and efficiency.,Fabric,74.7,163.37
Screwdriver R,442,A high-quality screwdriver designed for durability and efficiency.,Composite,68.97,255.95
Nut S,154,A high-quality nut designed for durability and efficiency.,Composite,6.02,269.32
Washer T,217,A high-quality washer designed for durability and efficiency.,Composite,34.3,290.41
Chisel U,290,A high-quality chisel designed for durability and efficiency.,Plastic,55.47,266.15
Clamp V,19,A high-quality clamp designed for durability and efficiency.,Plastic,55.37,236.94
Level W,57,A high-quality level designed for durability and efficiency.,Fabric,40.03,23.25
Sandpaper X,106,A high-quality sandpaper designed for durability and efficiency.,Plastic,90.44,340.96
Wire Cutter Y,69,A high-quality wire designed for durability and efficiency.,Wood,74.44,247.72
Socket Z,148,A high-quality socket designed for durability and efficiency.,Glass,98.33,171.92
Drill Bit A,321,A high-quality drill designed for durability and efficiency.,Composite,46.25,383.3
Grinder B,340,A high-quality grinder designed for durability and efficiency.,Glass,98.48,198.48
Screw C,402,A high-quality screw designed for durability and efficiency.,Wood,1.91,330.74
Bolt D,101,A high-quality bolt designed for durability and efficiency.,Fabric,70.94,247.67
Nail E,321,A high-quality nail designed for durability and efficiency.,Glass,29.38,194.88
Hammer F,269,A high-quality hammer designed for durability and efficiency.,Fabric,20.25,16.26
Wrench G,134,A high-quality wrench designed for durability and efficiency.,Plastic,44.39,340.66
Drill H,386,A high-quality drill designed for durability and efficiency.,Glass,6.19,428.79
Saw I,195,A high-quality saw designed for durability and efficiency.,Ceramic,33.98,233.11
Pliers J,25,A high-quality pliers designed for durability and efficiency.,Composite,73.84,398.63
Tape Measure K,392,A high-quality tape designed for durability and efficiency.,Composite,45.7,39.19
Screwdriver L,189,A high-quality screwdriver designed for durability and efficiency.,Metal,88.7,298.36
Nut M,216,A high-quality nut designed for durability and efficiency.,Fabric,88.86,132.57
Washer N,419,A high-quality washer designed for durability and efficiency.,Wood,35.6,449.62
Chisel O,374,A high-quality chisel designed for durability and efficiency.,Composite,56.59,106.92
Clamp P,87,A high-quality clamp designed for durability and efficiency.,Composite,47.82,481.22
Level Q,490,A high-quality level designed for durability and efficiency.,Wood,25.99,261.33
Sandpaper R,177,A high-quality sandpaper designed for durability and efficiency.,Glass,28.7,189.94
Wire Cutter S,306,A high-quality wire designed for durability and efficiency.,Wood,87.27,235.16
Socket T,146,A high-quality socket designed for durability and efficiency.,Wood,54.66,450.62
Drill Bit U,14,A high-quality drill designed for durability and efficiency.,Plastic,91.58,82.01
Grinder V,213,A high-quality grinder designed for durability and efficiency.,Fabric,54.97,218.66
Screw W,46,A high-quality screw designed for durability and efficiency.,Ceramic,80.72,290.57
Bolt X,175,A high-quality bolt designed for durability and efficiency.,Wood,99.28,155.11
Nail Y,146,A high-quality nail designed for durability and efficiency.,Ceramic,86.8,147.57
Hammer Z,123,A high-quality hammer designed for durability and efficiency.,Fabric,31.54,305.1
Wrench A,348,A high-quality wrench designed for durability and efficiency.,Metal,38.19,147.2
Drill B,156,A high-quality drill designed for durability and efficiency.,Fabric,52.96,375.66
Saw C,160,A high-quality saw designed for durability and efficiency.,Wood,61.43,92.88
Pliers D,297,A high-quality pliers designed for durability and efficiency.,Fabric,22.85,254.75
Tape Measure E,491,A high-quality tape designed for durability and efficiency.,Wood,31.13,348.51
Screwdriver F,243,A high-quality screwdriver designed for durability and efficiency.,Glass,5.01,78.16
Nut G,12,A high-quality nut designed for durability and efficiency.,Composite,85.49,307.22
Washer H,372,A high-quality washer designed for durability and efficiency.,Fabric,67.85,121.23
Chisel I,412,A high-quality chisel designed for durability and efficiency.,Fabric,41.09,125.41
Clamp J,260,A high-quality clamp designed for durability and efficiency.,Plastic,6.11,377.58
Level K,217,A high-quality level designed for durability and efficiency.,Metal,99.59,23.51
Sandpaper L,351,A high-quality sandpaper designed for durability and efficiency.,Ceramic,94.2,119.76
Wire Cutter M,347,A high-quality wire designed for durability and efficiency.,Ceramic,30.25,270.92
Socket N,258,A high-quality socket designed for durability and efficiency.,Glass,10.57,245.02
Drill Bit O,256,A high-quality drill designed for durability and efficiency.,Fabric,2.04,386.21
Grinder P,371,A high-quality grinder designed for durability and efficiency.,Glass,4.59,245.32
Screw Q,403,A high-quality screw designed for durability and efficiency.,Metal,41.25,419.98
Bolt R,96,A high-quality bolt designed for durability and efficiency.,Glass,10.29,391.17
Nail S,24,A high-quality nail designed for durability and efficiency.,Composite,64.72,377.61
Hammer T,320,A high-quality hammer designed for durability and efficiency.,Wood,25.79,479.83
Wrench U,356,A high-quality wrench designed for durability and efficiency.,Fabric,21.95,70.29
Drill V,409,A high-quality drill designed for durability and efficiency.,Metal,47.36,344.25
Saw W,280,A high-quality saw designed for durability and efficiency.,Ceramic,37.37,467.87
Pliers X,148,A high-quality pliers designed for durability and efficiency.,Metal,70.97,177.3
Tape Measure Y,73,A high-quality tape designed for durability and efficiency.,Wood,60.28,427.66
Screwdriver Z,342,A high-quality screwdriver designed for durability and efficiency.,Metal,68.33,22.97
Nut A,451,A high-quality nut designed for durability and efficiency.,Ceramic,62.18,115.83
Washer B,44,A high-quality washer designed for durability and efficiency.,Metal,95.67,339.64
Chisel C,98,A high-quality chisel designed for durability and efficiency.,Ceramic,0.83,10.77
Clamp D,238,A high-quality clamp designed for durability and efficiency.,Glass,77.96,499.68
Level E,68,A high-quality level designed for durability and efficiency.,Plastic,66.84,402.97
Sandpaper F,266,A high-quality sandpaper designed for durability and efficiency.,Metal,50.35,216.34
Wire Cutter G,132,A high-quality wire designed for durability and efficiency.,Plastic,29.32,382.98
Socket H,153,A high-quality socket designed for durability and efficiency.,Ceramic,63.87,402.71
Drill Bit I,234,A high-quality drill designed for durability and efficiency.,Glass,3.44,424.66
Grinder J,484,A high-quality grinder designed for durability and efficiency.,Metal,59.81,191.94
Screw K,384,A high-quality screw designed for durability and efficiency.,Fabric,98.53,182.76
Bolt L,385,A high-quality bolt designed for durability and efficiency.,Fabric,17.99,195.54
Nail M,472,A high-quality nail designed for durability and efficiency.,Glass,22.51,301.46
Hammer N,91,A high-quality hammer designed for durability and efficiency.,Fabric,92.41,60.25
Wrench O,315,A high-quality wrench designed for durability and efficiency.,Ceramic,43.24,124.83
Drill P,259,A high-quality drill designed for durability and efficiency.,Metal,39.95,361.8
Saw Q,232,A high-quality saw designed for durability and efficiency.,Fabric,49.99,474.72
Pliers R,206,A high-quality pliers designed for durability and efficiency.,Plastic,7.24,426.98
Tape Measure S,137,A high-quality tape designed for durability and efficiency.,Composite,51.21,438.43
Screwdriver T,428,A high-quality screwdriver designed for durability and efficiency.,Metal,59.8,5.9
Nut U,231,A high-quality nut designed for durability and efficiency.,Metal,23.45,295.14
Washer V,204,A high-quality washer designed for durability and efficiency.,Metal,49.94,459.16
Chisel W,14,A high-quality chisel designed for durability and efficiency.,Fabric,68.19,37.05
Clamp X,421,A high-quality clamp designed for durability and efficiency.,Plastic,0.22,333.41
Level Y,493,A high-quality level designed for durability and efficiency.,Ceramic,42.56,361.04
Sandpaper Z,457,A high-quality sandpaper designed for durability and efficiency.,Ceramic,37.17,255.27
Wire Cutter A,63,A high-quality wire designed for durability and efficiency.,Glass,7.05,138.62
Socket B,95,A high-quality socket designed for durability and efficiency.,Plastic,75.28,107.12
Drill Bit C,38,A high-quality drill designed for durability and efficiency.,Wood,1.16,433.29
Grinder D,164,A high-quality grinder designed for durability and efficiency.,Plastic,14.83,331.96
Screw E,159,A high-quality screw designed for durability and efficiency.,Metal,62.95,268.86
Bolt F,499,A high-quality bolt designed for durability and efficiency.,Metal,76.78,187.52
Nail G,244,A high-quality nail designed for durability and efficiency.,Ceramic,2.73,154.7
Hammer H,367,A high-quality hammer designed for durability and efficiency.,Fabric,96.15,32.58
Wrench I,359,A high-quality wrench designed for durability and efficiency.,Wood,60.05,290.96
Drill J,387,A high-quality drill designed for durability and efficiency.,Glass,16.01,135.39
Saw K,145,A high-quality saw designed for durability and efficiency.,Wood,41.59,354.92
Pliers L,387,A high-quality pliers designed for durability and efficiency.,Metal,69.65,18.25
Tape Measure M,121,A high-quality tape designed for durability and efficiency.,Wood,58.16,498.03
Screwdriver N,201,A high-quality screwdriver designed for durability and efficiency.,Composite,99.95,370.34
Nut O,84,A high-quality nut designed for durability and efficiency.,Metal,21.23,52.6
Washer P,229,A high-quality washer designed for durability and efficiency.,Metal,10.12,409.06
Chisel Q,313,A high-quality chisel designed for durability and efficiency.,Metal,70.17,352.54
Clamp R,339,A high-quality clamp designed for durability and efficiency.,Fabric,14.4,452.98
Level S,341,A high-quality level designed for durability and efficiency.,Wood,99.97,235.97
Sandpaper T,225,A high-quality sandpaper designed for durability and efficiency.,Fabric,74.23,40.51
Wire Cutter U,231,A high-quality wire designed for durability and efficiency.,Fabric,54.46,8.29
Socket V,488,A high-quality socket designed for durability and efficiency.,Composite,34.92,224.99
Drill Bit W,171,A high-quality drill designed for durability and efficiency.,Ceramic,47.58,359.05
Grinder X,95,A high-quality grinder designed for durability and efficiency.,Fabric,91.58,169.82
Screw Y,466,A high-quality screw designed for durability and efficiency.,Wood,75.9,81.87
Bolt Z,151,A high-quality bolt designed for durability and efficiency.,Metal,67.53,445.67
Nail A,178,A high-quality nail designed for durability and efficiency.,Fabric,26.02,6.43
Hammer B,121,A high-quality hammer designed for durability and efficiency.,Metal,26.18,39.43
Wrench C,313,A high-quality wrench designed for durability and efficiency.,Glass,41.14,120.7
Drill D,285,A high-quality drill designed for durability and efficiency.,Fabric,2.78,61.64
Saw E,74,A high-quality saw designed for durability and efficiency.,Plastic,92.94,31.61
Pliers F,84,A high-quality pliers designed for durability and efficiency.,Composite,51.87,108.52
Tape Measure G,189,A high-quality tape designed for durability and efficiency.,Composite,41.08,355.81
Screwdriver H,236,A high-quality screwdriver designed for durability and efficiency.,Glass,77.24,226.49
Nut I,44,A high-quality nut designed for durability and efficiency.,Ceramic,38.69,33.0
Washer J,474,A high-quality washer designed for durability and efficiency.,Wood,74.81,116.65
Chisel K,28,A high-quality chisel designed for durability and efficiency.,Glass,23.54,395.2
Clamp L,135,A high-quality clamp designed for durability and efficiency.,Plastic,59.95,370.95
Level M,192,A high-quality level designed for durability and efficiency.,Glass,18.11,7.49
Sandpaper N,152,A high-quality sandpaper designed for durability and efficiency.,Ceramic,68.0,307.4
Wire Cutter O,400,A high-quality wire designed for durability and efficiency.,Composite,79.82,281.41
Socket P,344,A high-quality socket designed for durability and efficiency.,Metal,72.0,432.0
Drill Bit Q,370,A high-quality drill designed for durability and efficiency.,Fabric,52.26,422.92
Grinder R,359,A high-quality grinder designed for durability and efficiency.,Plastic,4.42,136.51
Screw S,320,A high-quality screw designed for durability and efficiency.,Ceramic,41.52,41.09
Bolt T,412,A high-quality bolt designed for durability and efficiency.,Composite,38.67,344.79
Nail U,444,A high-quality nail designed for durability and efficiency.,Glass,8.54,341.42
Hammer V,254,A high-quality hammer designed for durability and efficiency.,Metal,42.01,1.11
Wrench W,420,A high-quality wrench designed for durability and efficiency.,Glass,28.55,132.97
Drill X,496,A high-quality drill designed for durability and efficiency.,Plastic,73.54,337.95
Saw Y,159,A high-quality saw designed for durability and efficiency.,Wood,1.25,398.07
Pliers Z,149,A high-quality pliers designed for durability and efficiency.,Fabric,44.05,423.2
Tape Measure A,155,A high-quality tape designed for durability and efficiency.,Glass,38.71,113.66
Screwdriver B,305,A high-quality screwdriver designed for durability and efficiency.,Metal,34.94,86.88
Nut C,464,A high-quality nut designed for durability and efficiency.,Wood,38.16,279.98
Washer D,77,A high-quality washer designed for durability and efficiency.,Glass,10.12,31.1
Chisel E,341,A high-quality chisel designed for durability and efficiency.,Ceramic,1.04,146.85
Clamp F,273,A high-quality clamp designed for durability and efficiency.,Wood,32.9,485.69
Level G,452,A high-quality level designed for durability and efficiency.,Glass,89.37,369.26
Sandpaper H,33,A high-quality sandpaper designed for durability and efficiency.,Glass,17.86,234.73
Wire Cutter I,116,A high-quality wire designed for durability and efficiency.,Glass,11.87,252.46
Socket J,430,A high-quality socket designed for durability and efficiency.,Ceramic,71.59,223.17
Drill Bit K,347,A high-quality drill designed for durability and efficiency.,Composite,36.19,331.44
Grinder L,27,A high-quality grinder designed for durability and efficiency.,Ceramic,21.51,147.72
Screw M,206,A high-quality screw designed for durability and efficiency.,Composite,39.8,197.74
Bolt N,341,A high-quality bolt designed for durability and efficiency.,Wood,36.93,83.13
Nail O,148,A high-quality nail designed for durability and efficiency.,Ceramic,65.13,276.01
Hammer P,31,A high-quality hammer designed for durability and efficiency.,Fabric,5.37,124.1
Wrench Q,318,A high-quality wrench designed for durability and efficiency.,Ceramic,83.21,151.01
Drill R,80,A high-quality drill designed for durability and efficiency.,Plastic,31.95,164.75
Saw S,226,A high-quality saw designed for durability and efficiency.,Glass,98.35,384.01
Pliers T,223,A high-quality pliers designed for durability and efficiency.,Composite,7.15,131.31
Tape Measure U,409,A high-quality tape designed for durability and efficiency.,Ceramic,53.33,242.57
Screwdriver V,41,A high-quality screwdriver designed for durability and efficiency.,Ceramic,75.75,145.66
Nut W,445,A high-quality nut designed for durability and efficiency.,Fabric,41.72,370.21
Washer X,119,A high-quality washer designed for durability and efficiency.,Plastic,77.18,487.85
Chisel Y,119,A high-quality chisel designed for durability and efficiency.,Composite,0.86,113.92
Clamp Z,484,A high-quality clamp designed for durability and efficiency.,Composite,28.97,328.98
Level A,177,A high-quality level designed for durability and efficiency.,Plastic,88.9,210.36
Sandpaper B,375,A high-quality sandpaper designed for durability and efficiency.,Plastic,97.9,299.17
Wire Cutter C,4,A high-quality wire designed for durability and efficiency.,Plastic,54.52,368.31
Socket D,84,A high-quality socket designed for durability and efficiency.,Glass,65.52,372.86
Drill Bit E,154,A high-quality drill designed for durability and efficiency.,Glass,61.13,203.4
Grinder F,47,A high-quality grinder designed for durability and efficiency.,Wood,3.31,127.66
Screw G,309,A high-quality screw designed for durability and efficiency.,Plastic,67.23,26.95
Bolt H,360,A high-quality bolt designed for durability and efficiency.,Glass,52.38,346.93
Nail I,400,A high-quality nail designed for durability and efficiency.,Wood,9.66,110.69
Hammer J,54,A high-quality hammer designed for durability and efficiency.,Glass,82.04,90.02
Wrench K,398,A high-quality wrench designed for durability and efficiency.,Plastic,64.06,11.16
Drill L,279,A high-quality drill designed for durability and efficiency.,Metal,43.77,43.63
Saw M,458,A high-quality saw designed for durability and efficiency.,Ceramic,73.94,246.99
Pliers N,273,A high-quality pliers designed for durability and efficiency.,Metal,33.76,53.74
Tape Measure O,346,A high-quality tape designed for durability and efficiency.,Ceramic,16.1,428.19
Screwdriver P,200,A high-quality screwdriver designed for durability and efficiency.,Composite,77.07,467.37
Nut Q,351,A high-quality nut designed for durability and efficiency.,Ceramic,70.16,160.43
Washer R,374,A high-quality washer designed for durability and efficiency.,Wood,33.19,231.93
Chisel S,475,A high-quality chisel designed for durability and efficiency.,Wood,68.24,9.64
Clamp T,311,A high-quality clamp designed for durability and efficiency.,Glass,2.87,171.61
Level U,335,A high-quality level designed for durability and efficiency.,Glass,36.6,493.27
Sandpaper V,280,A high-quality sandpaper designed for durability and efficiency.,Plastic,90.7,242.52
Wire Cutter W,147,A high-quality wire designed for durability and efficiency.,Glass,38.62,286.6
Socket X,474,A high-quality socket designed for durability and efficiency.,Fabric,90.76,23.57
Drill Bit Y,304,A high-quality drill designed for durability and efficiency.,Glass,70.37,347.43
Grinder Z,328,A high-quality grinder designed for durability and efficiency.,Composite,36.04,99.96
Screw A,228,A high-quality screw designed for durability and efficiency.,Metal,59.47,192.72
Bolt B,67,A high-quality bolt designed for durability and efficiency.,Plastic,50.21,113.25
Nail C,398,A high-quality nail designed for durability and efficiency.,Fabric,0.38,400.66
Hammer D,203,A high-quality hammer designed for durability and efficiency.,Metal,76.13,251.21
Wrench E,117,A high-quality wrench designed for durability and efficiency.,Composite,33.43,35.09
Drill F,307,A high-quality drill designed for durability and efficiency.,Glass,17.9,324.42
Saw G,227,A high-quality saw designed for durability and efficiency.,Fabric,75.92,275.69
Pliers H,46,A high-quality pliers designed for durability and efficiency.,Wood,31.74,114.62
Tape Measure I,257,A high-quality tape designed for durability and efficiency.,Glass,92.0,215.01
Screwdriver J,190,A high-quality screwdriver designed for durability and efficiency.,Metal,6.07,122.35
Nut K,298,A high-quality nut designed for durability and efficiency.,Composite,29.01,241.11
Washer L,71,A high-quality washer designed for durability and efficiency.,Fabric,27.96,461.94
Chisel M,247,A high-quality chisel designed for durability and efficiency.,Plastic,18.93,153.99
Clamp N,124,A high-quality clamp designed for durability and efficiency.,Fabric,99.63,89.63
Level O,401,A high-quality level designed for durability and efficiency.,Plastic,38.81,79.18
Sandpaper P,195,A high-quality sandpaper designed for durability and efficiency.,Wood,38.43,307.78
Wire Cutter Q,57,A high-quality wire designed for durability and efficiency.,Ceramic,0.55,454.06
Socket R,256,A high-quality socket designed for durability and efficiency.,Plastic,96.8,178.06
Drill Bit S,18,A high-quality drill designed for durability and efficiency.,Fabric,93.41,87.66
Grinder T,298,A high-quality grinder designed for durability and efficiency.,Fabric,61.4,21.43
Screw U,152,A high-quality screw designed for durability and efficiency.,Glass,11.24,200.13
Bolt V,244,A high-quality bolt designed for durability and efficiency.,Ceramic,7.64,159.6
Nail W,206,A high-quality nail designed for durability and efficiency.,Fabric,83.69,260.8
Hammer X,421,A high-quality hammer designed for durability and efficiency.,Glass,78.13,48.72
Wrench Y,63,A high-quality wrench designed for durability and efficiency.,Metal,23.13,417.22
Drill Z,93,A high-quality drill designed for durability and efficiency.,Metal,93.54,118.64
Saw A,286,A high-quality saw designed for durability and efficiency.,Fabric,18.57,350.1
Pliers B,335,A high-quality pliers designed for durability and efficiency.,Plastic,82.19,313.49
Tape Measure C,74,A high-quality tape designed for durability and efficiency.,Composite,25.01,334.56
Screwdriver D,384,A high-quality screwdriver designed for durability and efficiency.,Composite,52.13,88.18
Nut E,43,A high-quality nut designed for durability and efficiency.,Ceramic,44.51,203.16
Washer F,209,A high-quality washer designed for durability and efficiency.,Wood,75.86,301.58
Chisel G,470,A high-quality chisel designed for durability and efficiency.,Wood,39.38,113.98
Clamp H,222,A high-quality clamp designed for durability and efficiency.,Glass,2.53,434.91
Level I,202,A high-quality level designed for durability and efficiency.,Metal,7.5,118.64
Sandpaper J,95,A high-quality sandpaper designed for durability and efficiency.,Metal,12.82,402.1
Wire Cutter K,217,A high-quality wire designed for durability and efficiency.,Metal,20.56,390.74
Socket L,357,A high-quality socket designed for durability and efficiency.,Wood,13.73,391.49
Drill Bit M,229,A high-quality drill designed for durability and efficiency.,Wood,9.41,79.25
Grinder N,249,A high-quality grinder designed for durability and efficiency.,Metal,88.16,80.3
Screw O,395,A high-quality screw designed for durability and efficiency.,Metal,70.31,187.37
Bolt P,101,A high-quality bolt designed for durability and efficiency.,Metal,1.22,105.28
Nail Q,485,A high-quality nail designed for durability and efficiency.,Metal,5.4,308.28
Hammer R,60,A high-quality hammer designed for durability and efficiency.,Composite,8.2,355.23
Wrench S,10,A high-quality wrench designed for durability and efficiency.,Metal,22.07,121.08
Drill T,324,A high-quality drill designed for durability and efficiency.,Composite,54.06,161.08
